                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1204,                 2.5247,                 2.2741,                0.20523,                0.71287,                0.19607,                0.08564,                  1.892,                 3.6643,                 2.3396,                 0.0705,              0.0032778,              0.0032778
                      1,                 1.6732,                 1.4956,                 1.7691,                0.21392,                0.68317,                0.21738,                0.11105,                  1.689,                 3.0232,                 1.9891,               0.040173,              0.0062839,              0.0062839
                      2,                 1.4826,                 1.3458,                 1.6175,                0.24741,                0.65347,                0.24613,                0.13505,                 1.5088,                 3.5146,                 1.7709,              0.0095155,              0.0089599,              0.0089599
                      3,                 1.4384,                  1.293,                 1.5913,                0.25124,                0.63366,                0.24457,                0.13847,                  1.535,                  2.997,                 1.7958,               0.008515,               0.008515,               0.008515
                      4,                 1.3994,                 1.2569,                 1.5608,                0.25744,                0.76238,                0.27729,                0.15946,                 1.3582,                 2.8266,                 1.6966,               0.008515,               0.008515,               0.008515
                      5,                   1.35,                 1.2164,                 1.5231,                0.25158,                0.71287,                0.28965,                0.17148,                 1.3987,                 2.8195,                 1.6805,                0.00802,                0.00802,                0.00802
                      6,                 1.3443,                 1.2139,                 1.5313,                0.25594,                0.74245,                0.28112,                0.15881,                 1.4797,                 2.4995,                 1.7585,               0.007525,               0.007525,               0.007525
                      7,                 1.2662,                  1.167,                 1.4668,                0.25704,                0.79208,                0.24923,                  0.144,                 1.4721,                 2.6077,                 1.8191,                0.00703,                0.00703,                0.00703
                      8,                 1.2661,                 1.1246,                 1.4614,                 0.2456,                0.74257,                 0.2737,                0.16736,                 1.3629,                 2.5407,                 1.6741,               0.006535,               0.006535,               0.006535
                      9,                 1.2069,                 1.0944,                 1.4299,                0.25706,                0.81188,                0.26482,                0.15965,                 1.2711,                 2.4553,                 1.5917,                0.00604,                0.00604,                0.00604
                     10,                 1.1376,                0.97548,                 1.4484,                 0.2598,                0.69307,                0.25259,                0.15174,                 1.3256,                 2.6908,                 1.6985,               0.005545,               0.005545,               0.005545
                     11,                 1.0983,                0.93464,                 1.4423,                0.25051,                0.87129,                0.24665,                0.14658,                 1.3952,                 2.5152,                 1.7405,                0.00505,                0.00505,                0.00505
                     12,                 1.0884,                  0.889,                  1.406,                0.25063,                0.85149,                0.26847,                0.17069,                 1.2684,                 2.2483,                 1.5709,               0.004555,               0.004555,               0.004555
                     13,                 1.0605,                0.91562,                  1.411,                0.25007,                0.77228,                0.26577,                0.17563,                 1.2653,                 2.1483,                 1.6536,                0.00406,                0.00406,                0.00406
                     14,                 1.0039,                0.84493,                 1.3526,                0.24762,                0.84158,                0.25889,                0.17087,                 1.2566,                 2.2453,                  1.574,               0.003565,               0.003565,               0.003565
                     15,                 1.0063,                0.84697,                 1.3443,                0.25999,                0.78218,                0.27311,                0.15922,                  1.393,                 2.2127,                 1.7376,                0.00307,                0.00307,                0.00307
                     16,                0.97542,                0.80933,                   1.35,                0.26269,                0.78218,                0.28475,                0.17446,                 1.3332,                 2.4914,                 1.6717,               0.002575,               0.002575,               0.002575
                     17,                0.92946,                0.76027,                 1.3073,                0.26297,                0.83168,                0.26402,                0.16795,                 1.2347,                 2.3557,                 1.5856,                0.00208,                0.00208,                0.00208
                     18,                0.90124,                 0.7751,                 1.2824,                0.28529,                0.68317,                0.29474,                0.18828,                 1.2252,                 2.3773,                 1.5758,               0.001585,               0.001585,               0.001585
                     19,                0.89451,                0.74215,                 1.2746,                0.26086,                0.75248,                0.28356,                0.18629,                 1.2438,                 2.4468,                 1.5753,                0.00109,                0.00109,                0.00109
